asset,metric,phase,feature,importance
bitcoin,stockprice,phase1,scores__Agreeableness,0.01512146
bitcoin,stockprice,phase1,scores__Conscientiousness,-0.015720367
bitcoin,stockprice,phase1,scores__Openness,0.008346558
bitcoin,stockprice,phase1,scores__arts_culture,-0.0027618408
bitcoin,stockprice,phase1,scores__business_entrepreneurs,0.0018920898
bitcoin,stockprice,phase1,scores__celebrity_pop_culture,0.005207062
bitcoin,stockprice,phase1,scores__diaries_daily_life,-0.025596619
bitcoin,stockprice,phase1,scores__family,-0.0246315
bitcoin,stockprice,phase1,scores__fashion_style,-0.018405914
bitcoin,stockprice,phase1,scores__film_tv_video,-0.017787933
bitcoin,stockprice,phase1,scores__fitness_&_health,0.013500214
bitcoin,stockprice,phase1,scores__food_&_dining,0.00017929077
bitcoin,stockprice,phase1,scores__gaming,0.0020828247
bitcoin,stockprice,phase1,scores__learning_educational,-0.009838104
bitcoin,stockprice,phase1,scores__music,-0.029109955
bitcoin,stockprice,phase1,scores__other_hobbies,0.015708923
bitcoin,stockprice,phase1,scores__relationships,0.016017914
bitcoin,stockprice,phase1,scores__science_technology,-0.0120277405
bitcoin,stockprice,phase1,scores__sports,-0.0055999756
bitcoin,stockprice,phase1,scores__travel_adventure,0.0046539307
bitcoin,stockprice,phase1,scores__youth_student_life,-0.0065994263
bitcoin,stockprice,phase1,counts__tweet_count,-0.045627594
bitcoin,stockprice,phase1,counts__nlp_tweet_count,0.03208542
bitcoin,stockprice,phase1,counts__tesla,-0.005050659
bitcoin,stockprice,phase1,counts__stock,0.0
bitcoin,stockprice,phase1,counts__market,0.0
bitcoin,stockprice,phase1,counts__price,0.0048332214
bitcoin,stockprice,phase1,counts__profit,0.0
bitcoin,stockprice,phase1,counts__loss,0.0
bitcoin,stockprice,phase1,counts__revenue,0.0
bitcoin,stockprice,phase1,counts__inflation,0.0
bitcoin,stockprice,phase1,counts__interest,0.0
bitcoin,stockprice,phase1,counts__bitcoin,0.0
bitcoin,stockprice,phase1,counts__dogecoin,0.0
bitcoin,stockprice,phase1,counts__crypto,0.0
bitcoin,stockprice,phase1,counts__ethereum,0.0
bitcoin,stockprice,phase1,counts__spacex,-0.08414841
bitcoin,stockprice,phase1,counts__model,-0.0072669983
bitcoin,stockprice,phase1,counts__cybertruck,0.0
bitcoin,stockprice,phase1,counts__starship,0.0
bitcoin,stockprice,phase1,counts__buy,0.0132369995
bitcoin,stockprice,phase1,counts__sell,0.027500153
bitcoin,stockprice,phase1,counts__likeCount,-0.023460388
bitcoin,stockprice,phase1,counts__quoteCount,-0.12659454
bitcoin,stockprice,phase1,counts__retweetCount,0.005783081
bitcoin,stockprice,phase1,counts__replyCount,-0.03419876
bitcoin,stockprice,phase1,scores__neg,0.1395607
bitcoin,stockprice,phase1,scores__neu,0.14762115
bitcoin,stockprice,phase1,scores__pos,0.078624725
bitcoin,stockprice,phase1,scores__anger,0.0013999939
bitcoin,stockprice,phase1,scores__disgust,0.077819824
bitcoin,stockprice,phase1,scores__fear,0.0951767
bitcoin,stockprice,phase1,scores__joy,0.06193161
bitcoin,stockprice,phase1,scores__neutral,0.32315063
bitcoin,stockprice,phase1,scores__sadness,-0.2858696
bitcoin,stockprice,phase1,scores__surprise,0.1076355
bitcoin,stockprice,phase1,scores__news_social_concern,0.23997116
bitcoin,stockprice,phase1,binary__no_tweets,-0.008594513
bitcoin,stockprice,phase2,scores__Extroversion,-0.016162872
bitcoin,stockprice,phase2,scores__Neuroticism,-0.02314949
bitcoin,stockprice,phase2,scores__Agreeableness,0.005964279
bitcoin,stockprice,phase2,scores__Conscientiousness,-0.0127334595
bitcoin,stockprice,phase2,scores__Openness,-0.009474754
bitcoin,stockprice,phase2,scores__arts_culture,0.018658638
bitcoin,stockprice,phase2,scores__business_entrepreneurs,-0.014100075
bitcoin,stockprice,phase2,scores__celebrity_pop_culture,0.02363205
bitcoin,stockprice,phase2,scores__diaries_daily_life,0.0032463074
bitcoin,stockprice,phase2,scores__family,0.046920776
bitcoin,stockprice,phase2,scores__fashion_style,0.009243965
bitcoin,stockprice,phase2,scores__film_tv_video,0.0031356812
bitcoin,stockprice,phase2,scores__fitness_&_health,0.010089874
bitcoin,stockprice,phase2,scores__food_&_dining,0.020906448
bitcoin,stockprice,phase2,scores__gaming,0.018138885
bitcoin,stockprice,phase2,scores__learning_educational,0.0010786057
bitcoin,stockprice,phase2,scores__music,0.037715912
bitcoin,stockprice,phase2,scores__other_hobbies,0.0154418945
bitcoin,stockprice,phase2,scores__relationships,-0.017082214
bitcoin,stockprice,phase2,scores__science_technology,-0.037854195
bitcoin,stockprice,phase2,scores__sports,-0.017255783
bitcoin,stockprice,phase2,scores__travel_adventure,-0.026242256
bitcoin,stockprice,phase2,scores__youth_student_life,-0.021568298
bitcoin,stockprice,phase2,counts__tweet_count,-0.009935379
bitcoin,stockprice,phase2,counts__nlp_tweet_count,-0.020957947
bitcoin,stockprice,phase2,counts__tesla,0.0072050095
bitcoin,stockprice,phase2,counts__stock,0.0031843185
bitcoin,stockprice,phase2,counts__market,0.0011262894
bitcoin,stockprice,phase2,counts__price,-8.392334e-05
bitcoin,stockprice,phase2,counts__profit,0.0
bitcoin,stockprice,phase2,counts__loss,0.0
bitcoin,stockprice,phase2,counts__revenue,0.0014867783
bitcoin,stockprice,phase2,counts__inflation,0.013209343
bitcoin,stockprice,phase2,counts__interest,-0.002404213
bitcoin,stockprice,phase2,counts__bitcoin,0.0016212463
bitcoin,stockprice,phase2,counts__dogecoin,-0.0047388077
bitcoin,stockprice,phase2,counts__crypto,-0.002439499
bitcoin,stockprice,phase2,counts__ethereum,-0.002090454
bitcoin,stockprice,phase2,counts__spacex,-0.014107704
bitcoin,stockprice,phase2,counts__model,-0.0029888153
bitcoin,stockprice,phase2,counts__cybertruck,-0.00014209747
bitcoin,stockprice,phase2,counts__starship,0.0040254593
bitcoin,stockprice,phase2,counts__buy,0.0065250397
bitcoin,stockprice,phase2,counts__sell,0.010015488
bitcoin,stockprice,phase2,counts__likeCount,0.016551971
bitcoin,stockprice,phase2,counts__quoteCount,-0.04728794
bitcoin,stockprice,phase2,counts__retweetCount,0.0076036453
bitcoin,stockprice,phase2,counts__replyCount,0.010340691
bitcoin,stockprice,phase2,scores__neg,0.039690018
bitcoin,stockprice,phase2,scores__neu,-0.09158611
bitcoin,stockprice,phase2,scores__pos,-0.014781952
bitcoin,stockprice,phase2,scores__anger,0.073334694
bitcoin,stockprice,phase2,scores__disgust,0.026407242
bitcoin,stockprice,phase2,scores__fear,0.03843975
bitcoin,stockprice,phase2,scores__joy,0.101498604
bitcoin,stockprice,phase2,scores__neutral,-0.122639656
bitcoin,stockprice,phase2,scores__sadness,0.032912254
bitcoin,stockprice,phase2,scores__surprise,0.018249512
bitcoin,stockprice,phase2,scores__news_social_concern,-0.06920338
bitcoin,stockprice,phase2,binary__no_tweets,0.0012931824
bitcoin,stockprice,phase3,scores__Extroversion,-0.0049152374
bitcoin,stockprice,phase3,scores__Neuroticism,-0.00034236908
bitcoin,stockprice,phase3,scores__Agreeableness,0.0009918213
bitcoin,stockprice,phase3,scores__Conscientiousness,-0.0010757446
bitcoin,stockprice,phase3,scores__Openness,0.0025978088
bitcoin,stockprice,phase3,scores__arts_culture,-0.00020503998
bitcoin,stockprice,phase3,scores__business_entrepreneurs,0.0108213425
bitcoin,stockprice,phase3,scores__celebrity_pop_culture,0.0026636124
bitcoin,stockprice,phase3,scores__diaries_daily_life,0.00166893
bitcoin,stockprice,phase3,scores__family,0.011487007
bitcoin,stockprice,phase3,scores__fashion_style,0.008989334
bitcoin,stockprice,phase3,scores__film_tv_video,-0.006228447
bitcoin,stockprice,phase3,scores__fitness_&_health,0.0073986053
bitcoin,stockprice,phase3,scores__food_&_dining,-0.0003299713
bitcoin,stockprice,phase3,scores__gaming,-0.01815319
bitcoin,stockprice,phase3,scores__learning_educational,-0.016568184
bitcoin,stockprice,phase3,scores__music,0.006918907
bitcoin,stockprice,phase3,scores__other_hobbies,0.017725945
bitcoin,stockprice,phase3,scores__relationships,0.0038232803
bitcoin,stockprice,phase3,scores__science_technology,0.0002412796
bitcoin,stockprice,phase3,scores__sports,0.035237312
bitcoin,stockprice,phase3,scores__travel_adventure,0.0008277893
bitcoin,stockprice,phase3,scores__youth_student_life,-0.0014982224
bitcoin,stockprice,phase3,counts__tweet_count,-0.011955261
bitcoin,stockprice,phase3,counts__nlp_tweet_count,-6.866455e-05
bitcoin,stockprice,phase3,counts__tesla,0.010832787
bitcoin,stockprice,phase3,counts__stock,0.0152692795
bitcoin,stockprice,phase3,counts__market,-0.008569717
bitcoin,stockprice,phase3,counts__price,0.0096616745
bitcoin,stockprice,phase3,counts__profit,0.03733635
bitcoin,stockprice,phase3,counts__loss,0.0020179749
bitcoin,stockprice,phase3,counts__revenue,-0.0006980896
bitcoin,stockprice,phase3,counts__inflation,-0.003455162
bitcoin,stockprice,phase3,counts__interest,-0.017349243
bitcoin,stockprice,phase3,counts__bitcoin,-0.0005607605
bitcoin,stockprice,phase3,counts__dogecoin,0.0
bitcoin,stockprice,phase3,counts__crypto,0.00037193298
bitcoin,stockprice,phase3,counts__ethereum,0.0
bitcoin,stockprice,phase3,counts__spacex,-0.02318573
bitcoin,stockprice,phase3,counts__model,-0.03836727
bitcoin,stockprice,phase3,counts__cybertruck,-0.008649826
bitcoin,stockprice,phase3,counts__starship,0.020310402
bitcoin,stockprice,phase3,counts__buy,-0.023262978
bitcoin,stockprice,phase3,counts__sell,-0.03421402
bitcoin,stockprice,phase3,counts__likeCount,0.015325546
bitcoin,stockprice,phase3,counts__quoteCount,0.002503395
bitcoin,stockprice,phase3,counts__retweetCount,0.07757664
bitcoin,stockprice,phase3,counts__replyCount,0.017542839
bitcoin,stockprice,phase3,scores__neg,-0.030213356
bitcoin,stockprice,phase3,scores__neu,0.055408478
bitcoin,stockprice,phase3,scores__pos,0.12259102
bitcoin,stockprice,phase3,scores__anger,-0.013831139
bitcoin,stockprice,phase3,scores__disgust,0.009698868
bitcoin,stockprice,phase3,scores__fear,0.03148079
bitcoin,stockprice,phase3,scores__joy,0.002919197
bitcoin,stockprice,phase3,scores__neutral,-0.032631874
bitcoin,stockprice,phase3,scores__sadness,-0.0062971115
bitcoin,stockprice,phase3,scores__surprise,-0.028657913
bitcoin,stockprice,phase3,scores__news_social_concern,-0.013118744
bitcoin,stockprice,phase3,binary__no_tweets,0.0
bitcoin,stockprice,phase4,scores__Extroversion,-0.021198273
bitcoin,stockprice,phase4,scores__Neuroticism,0.01859951
bitcoin,stockprice,phase4,scores__Agreeableness,-0.0705843
bitcoin,stockprice,phase4,scores__Conscientiousness,-0.003200531
bitcoin,stockprice,phase4,scores__Openness,-0.035144806
bitcoin,stockprice,phase4,scores__arts_culture,0.032403946
bitcoin,stockprice,phase4,scores__business_entrepreneurs,0.035176277
bitcoin,stockprice,phase4,scores__celebrity_pop_culture,-0.026323318
bitcoin,stockprice,phase4,scores__diaries_daily_life,0.034975052
bitcoin,stockprice,phase4,scores__family,-0.021564484
bitcoin,stockprice,phase4,scores__fashion_style,-0.0076293945
bitcoin,stockprice,phase4,scores__film_tv_video,0.07500553
bitcoin,stockprice,phase4,scores__fitness_&_health,0.30529976
bitcoin,stockprice,phase4,scores__food_&_dining,-0.06854248
bitcoin,stockprice,phase4,scores__gaming,-0.14362717
bitcoin,stockprice,phase4,scores__learning_educational,-0.14012241
bitcoin,stockprice,phase4,scores__music,-0.0045671463
bitcoin,stockprice,phase4,scores__other_hobbies,-0.13856411
bitcoin,stockprice,phase4,scores__relationships,-0.094944954
bitcoin,stockprice,phase4,scores__science_technology,-0.056001663
bitcoin,stockprice,phase4,scores__sports,0.012888908
bitcoin,stockprice,phase4,scores__travel_adventure,0.07968998
bitcoin,stockprice,phase4,scores__youth_student_life,0.54132843
bitcoin,stockprice,phase4,counts__tweet_count,-0.10788822
bitcoin,stockprice,phase4,counts__nlp_tweet_count,0.04559326
bitcoin,stockprice,phase4,counts__tesla,-0.08928013
bitcoin,stockprice,phase4,counts__stock,0.023378372
bitcoin,stockprice,phase4,counts__market,0.05838871
bitcoin,stockprice,phase4,counts__price,0.004029274
bitcoin,stockprice,phase4,counts__profit,0.043868065
bitcoin,stockprice,phase4,counts__loss,-0.03523922
bitcoin,stockprice,phase4,counts__revenue,0.012059212
bitcoin,stockprice,phase4,counts__inflation,-0.008067131
bitcoin,stockprice,phase4,counts__interest,0.0319767
bitcoin,stockprice,phase4,counts__bitcoin,0.0
bitcoin,stockprice,phase4,counts__dogecoin,0.0
bitcoin,stockprice,phase4,counts__crypto,0.0
bitcoin,stockprice,phase4,counts__ethereum,0.0
bitcoin,stockprice,phase4,counts__spacex,0.012454987
bitcoin,stockprice,phase4,counts__model,-0.054862022
bitcoin,stockprice,phase4,counts__cybertruck,0.008441925
bitcoin,stockprice,phase4,counts__starship,-0.0048217773
bitcoin,stockprice,phase4,counts__buy,0.02494812
bitcoin,stockprice,phase4,counts__sell,-0.14282036
bitcoin,stockprice,phase4,counts__likeCount,0.012008667
bitcoin,stockprice,phase4,counts__quoteCount,0.048823357
bitcoin,stockprice,phase4,counts__retweetCount,-0.01672268
bitcoin,stockprice,phase4,counts__replyCount,0.020108223
bitcoin,stockprice,phase4,scores__neg,0.42335892
bitcoin,stockprice,phase4,scores__neu,-0.31653118
bitcoin,stockprice,phase4,scores__pos,-0.020775795
bitcoin,stockprice,phase4,scores__anger,-0.004504204
bitcoin,stockprice,phase4,scores__disgust,0.32924938
bitcoin,stockprice,phase4,scores__fear,-0.093473434
bitcoin,stockprice,phase4,scores__joy,0.14865303
bitcoin,stockprice,phase4,scores__neutral,0.3736744
bitcoin,stockprice,phase4,scores__sadness,-0.0061626434
bitcoin,stockprice,phase4,scores__surprise,-0.113069534
bitcoin,stockprice,phase4,scores__news_social_concern,0.8555641
bitcoin,stockprice,phase4,binary__no_tweets,0.0
bitcoin,volatility,full,scores__Extroversion,-0.0045661926
bitcoin,volatility,full,scores__Neuroticism,-0.019546509
bitcoin,volatility,full,scores__Agreeableness,-0.0020065308
bitcoin,volatility,full,scores__Conscientiousness,0.00025177002
bitcoin,volatility,full,scores__Openness,0.020641327
bitcoin,volatility,full,scores__arts_culture,-0.04970932
bitcoin,volatility,full,scores__business_entrepreneurs,0.09967041
bitcoin,volatility,full,scores__celebrity_pop_culture,-0.018447876
bitcoin,volatility,full,scores__diaries_daily_life,0.10309601
bitcoin,volatility,full,scores__family,-0.018104553
bitcoin,volatility,full,scores__fashion_style,0.078178406
bitcoin,volatility,full,scores__film_tv_video,-0.06359863
bitcoin,volatility,full,scores__fitness_&_health,-0.12189865
bitcoin,volatility,full,scores__food_&_dining,-0.16294861
bitcoin,volatility,full,scores__gaming,0.6029396
bitcoin,volatility,full,scores__learning_educational,-0.07331085
bitcoin,volatility,full,scores__music,0.19255066
bitcoin,volatility,full,scores__other_hobbies,-0.029109955
bitcoin,volatility,full,scores__relationships,0.11261368
bitcoin,volatility,full,scores__science_technology,-0.17238235
bitcoin,volatility,full,scores__sports,-0.2936859
bitcoin,volatility,full,scores__travel_adventure,-0.012752533
bitcoin,volatility,full,scores__youth_student_life,-0.0424881
bitcoin,volatility,full,counts__tweet_count,-0.34301376
bitcoin,volatility,full,counts__nlp_tweet_count,-0.17604065
bitcoin,volatility,full,counts__tesla,-0.037345886
bitcoin,volatility,full,counts__stock,-0.001121521
bitcoin,volatility,full,counts__market,-0.023513794
bitcoin,volatility,full,counts__price,-0.009002686
bitcoin,volatility,full,counts__profit,0.019168854
bitcoin,volatility,full,counts__loss,-0.0008277893
bitcoin,volatility,full,counts__revenue,-0.00091171265
bitcoin,volatility,full,counts__inflation,0.013435364
bitcoin,volatility,full,counts__interest,-0.050933838
bitcoin,volatility,full,counts__bitcoin,-0.004196167
bitcoin,volatility,full,counts__dogecoin,-0.0002708435
bitcoin,volatility,full,counts__crypto,-0.0011062622
bitcoin,volatility,full,counts__ethereum,0.0
bitcoin,volatility,full,counts__spacex,0.008014679
bitcoin,volatility,full,counts__model,-0.0059394836
bitcoin,volatility,full,counts__cybertruck,0.047416687
bitcoin,volatility,full,counts__starship,-0.017238617
bitcoin,volatility,full,counts__buy,-0.024318695
bitcoin,volatility,full,counts__sell,0.007019043
bitcoin,volatility,full,counts__likeCount,0.10967255
bitcoin,volatility,full,counts__quoteCount,0.13203812
bitcoin,volatility,full,counts__retweetCount,-0.1083107
bitcoin,volatility,full,counts__replyCount,-0.052978516
bitcoin,volatility,full,scores__neg,-0.16106033
bitcoin,volatility,full,scores__neu,0.16246414
bitcoin,volatility,full,scores__pos,-0.02842331
bitcoin,volatility,full,scores__anger,0.35945892
bitcoin,volatility,full,scores__disgust,-0.72472
bitcoin,volatility,full,scores__fear,0.16201401
bitcoin,volatility,full,scores__joy,-0.24340057
bitcoin,volatility,full,scores__neutral,-0.27090836
bitcoin,volatility,full,scores__sadness,0.38300705
bitcoin,volatility,full,scores__surprise,-0.11271286
bitcoin,volatility,full,scores__news_social_concern,-0.10228348
bitcoin,volatility,full,binary__no_tweets,0.001461029
bitcoin,volatility,phase1,scores__Extroversion,0.0050296783
bitcoin,volatility,phase1,scores__Neuroticism,0.0048446655
bitcoin,volatility,phase1,scores__Agreeableness,-0.0026931763
bitcoin,volatility,phase1,scores__Conscientiousness,-0.0056209564
bitcoin,volatility,phase1,scores__Openness,-0.0035209656
bitcoin,volatility,phase1,scores__arts_culture,-0.0015163422
bitcoin,volatility,phase1,scores__business_entrepreneurs,-0.0002708435
bitcoin,volatility,phase1,scores__celebrity_pop_culture,0.0023880005
bitcoin,volatility,phase1,scores__diaries_daily_life,-0.018096924
bitcoin,volatility,phase1,scores__family,0.006717682
bitcoin,volatility,phase1,scores__fashion_style,-0.011798859
bitcoin,volatility,phase1,scores__film_tv_video,0.00242424
bitcoin,volatility,phase1,scores__fitness_&_health,-0.011444092
bitcoin,volatility,phase1,scores__food_&_dining,-0.0029964447
bitcoin,volatility,phase1,scores__gaming,-0.0029182434
bitcoin,volatility,phase1,scores__learning_educational,-8.9645386e-05
bitcoin,volatility,phase1,scores__music,-0.017267227
bitcoin,volatility,phase1,scores__other_hobbies,0.0070724487
bitcoin,volatility,phase1,scores__relationships,-0.015365601
bitcoin,volatility,phase1,scores__science_technology,0.006679535
bitcoin,volatility,phase1,scores__sports,0.0032844543
bitcoin,volatility,phase1,scores__travel_adventure,0.002779007
bitcoin,volatility,phase1,scores__youth_student_life,-0.012182236
bitcoin,volatility,phase1,counts__tweet_count,-0.00059890747
bitcoin,volatility,phase1,counts__nlp_tweet_count,-0.0025920868
bitcoin,volatility,phase1,counts__tesla,-0.005083084
bitcoin,volatility,phase1,counts__stock,0.0
bitcoin,volatility,phase1,counts__market,0.0
bitcoin,volatility,phase1,counts__price,0.0026493073
bitcoin,volatility,phase1,counts__profit,0.0
bitcoin,volatility,phase1,counts__loss,0.0
bitcoin,volatility,phase1,counts__revenue,0.0
bitcoin,volatility,phase1,counts__inflation,0.0
bitcoin,volatility,phase1,counts__interest,0.0
bitcoin,volatility,phase1,counts__bitcoin,0.0
bitcoin,volatility,phase1,counts__dogecoin,0.0
bitcoin,volatility,phase1,counts__crypto,0.0
bitcoin,volatility,phase1,counts__ethereum,0.0
bitcoin,volatility,phase1,counts__spacex,-0.027235031
bitcoin,volatility,phase1,counts__model,-0.001405716
bitcoin,volatility,phase1,counts__cybertruck,0.0
bitcoin,volatility,phase1,counts__starship,0.0
bitcoin,volatility,phase1,counts__buy,-0.0025253296
bitcoin,volatility,phase1,counts__sell,0.02122116
bitcoin,volatility,phase1,counts__likeCount,0.036262512
bitcoin,volatility,phase1,counts__quoteCount,-0.041259766
bitcoin,volatility,phase1,counts__retweetCount,0.053804398
bitcoin,volatility,phase1,counts__replyCount,-0.122291565
bitcoin,volatility,phase1,scores__neg,-0.053344727
bitcoin,volatility,phase1,scores__neu,-0.087667465
bitcoin,volatility,phase1,scores__pos,0.11438179
bitcoin,volatility,phase1,scores__anger,-0.10024643
bitcoin,volatility,phase1,scores__disgust,-0.05325699
bitcoin,volatility,phase1,scores__fear,-0.014284134
bitcoin,volatility,phase1,scores__joy,-0.02030754
bitcoin,volatility,phase1,scores__neutral,0.062480927
bitcoin,volatility,phase1,scores__sadness,0.01760292
bitcoin,volatility,phase1,scores__surprise,0.008960724
bitcoin,volatility,phase1,scores__news_social_concern,0.030914307
bitcoin,volatility,phase1,binary__no_tweets,0.05439949
bitcoin,volatility,phase2,scores__Extroversion,0.013977051
bitcoin,volatility,phase2,scores__Neuroticism,0.008323669
bitcoin,volatility,phase2,scores__Agreeableness,-0.0075798035
bitcoin,volatility,phase2,scores__Conscientiousness,0.03211212
bitcoin,volatility,phase2,scores__Openness,0.009662628
bitcoin,volatility,phase2,scores__arts_culture,0.021976471
bitcoin,volatility,phase2,scores__business_entrepreneurs,-0.0015869141
bitcoin,volatility,phase2,scores__celebrity_pop_culture,-0.02676773
bitcoin,volatility,phase2,scores__diaries_daily_life,-0.0077171326
bitcoin,volatility,phase2,scores__family,0.0044441223
bitcoin,volatility,phase2,scores__fashion_style,0.030303955
bitcoin,volatility,phase2,scores__film_tv_video,0.005001068
bitcoin,volatility,phase2,scores__fitness_&_health,-0.0511055
bitcoin,volatility,phase2,scores__food_&_dining,0.05027771
bitcoin,volatility,phase2,scores__gaming,-0.0060691833
bitcoin,volatility,phase2,scores__learning_educational,-0.0039520264
bitcoin,volatility,phase2,scores__music,0.006641388
bitcoin,volatility,phase2,scores__other_hobbies,0.0023460388
bitcoin,volatility,phase2,scores__relationships,-0.023376465
bitcoin,volatility,phase2,scores__science_technology,-0.007587433
bitcoin,volatility,phase2,scores__sports,0.0020484924
bitcoin,volatility,phase2,scores__travel_adventure,-0.058963776
bitcoin,volatility,phase2,scores__youth_student_life,-0.0058784485
bitcoin,volatility,phase2,counts__tweet_count,-0.05458069
bitcoin,volatility,phase2,counts__nlp_tweet_count,-0.08421707
bitcoin,volatility,phase2,counts__tesla,-0.022369385
bitcoin,volatility,phase2,counts__stock,0.0016593933
bitcoin,volatility,phase2,counts__market,0.0011024475
bitcoin,volatility,phase2,counts__price,0.0031700134
bitcoin,volatility,phase2,counts__profit,0.0
bitcoin,volatility,phase2,counts__loss,0.0
bitcoin,volatility,phase2,counts__revenue,0.005203247
bitcoin,volatility,phase2,counts__inflation,-0.004878998
bitcoin,volatility,phase2,counts__interest,0.002506256
bitcoin,volatility,phase2,counts__bitcoin,-0.0026817322
bitcoin,volatility,phase2,counts__dogecoin,0.0020370483
bitcoin,volatility,phase2,counts__crypto,0.00062179565
bitcoin,volatility,phase2,counts__ethereum,-0.0021247864
bitcoin,volatility,phase2,counts__spacex,0.07538223
bitcoin,volatility,phase2,counts__model,0.0044288635
bitcoin,volatility,phase2,counts__cybertruck,-0.001373291
bitcoin,volatility,phase2,counts__starship,0.021503448
bitcoin,volatility,phase2,counts__buy,0.044643402
bitcoin,volatility,phase2,counts__sell,-0.0015640259
bitcoin,volatility,phase2,counts__likeCount,0.027946472
bitcoin,volatility,phase2,counts__quoteCount,0.03759384
bitcoin,volatility,phase2,counts__retweetCount,0.03502655
bitcoin,volatility,phase2,counts__replyCount,-0.23137665
bitcoin,volatility,phase2,scores__neg,0.029922485
bitcoin,volatility,phase2,scores__neu,-0.09497452
bitcoin,volatility,phase2,scores__pos,-0.17056274
bitcoin,volatility,phase2,scores__anger,-0.2478981
bitcoin,volatility,phase2,scores__disgust,0.008102417
bitcoin,volatility,phase2,scores__fear,-0.09553528
bitcoin,volatility,phase2,scores__joy,-0.06893921
bitcoin,volatility,phase2,scores__neutral,0.075618744
bitcoin,volatility,phase2,scores__sadness,-0.0235672
bitcoin,volatility,phase2,scores__surprise,-0.24193573
bitcoin,volatility,phase2,scores__news_social_concern,-0.017669678
bitcoin,volatility,phase2,binary__no_tweets,0.02500534
bitcoin,volatility,phase3,scores__Extroversion,-0.021907806
bitcoin,volatility,phase3,scores__Neuroticism,-0.0036239624
bitcoin,volatility,phase3,scores__Agreeableness,-0.0009326935
bitcoin,volatility,phase3,scores__Conscientiousness,-0.003824234
bitcoin,volatility,phase3,scores__Openness,-0.0017604828
bitcoin,volatility,phase3,scores__arts_culture,0.059469223
